Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
gdr-1949-1950,1,1949-09-03,,saturday,BSG Märkische Volksstimme Babelsberg,SG Dresden-Friedrichstadt,2,12,14,H,W,L,0,6,6,A,L,W,http://www.worldfootball.net/report/oberliga-1949-1950-fortuna-babelsberg-dresdner-sc/
gdr-1949-1950,1,1949-09-04,,sunday,ZSG Union Halle,BSG Franz Mehring Marga,3,4,7,A,L,W,2,1,3,H,W,L,http://www.worldfootball.net/report/oberliga-1949-1950-hallescher-fc-glueckauf-brieske-senftenberg/
gdr-1949-1950,1,1949-09-04,,sunday,BSG Gera-Süd,BSG Vorwärts Schwerin,5,1,6,H,W,L,3,0,3,H,W,L,http://www.worldfootball.net/report/oberliga-1949-1950-1-sv-gera-fc-mecklenburg-schwerin/
gdr-1949-1950,1,1949-09-04,,sunday,ZSG Industrie Leipzig,BSG Waggonfabrik Dessau,1,2,3,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/oberliga-1949-1950-sg-sachsen-leipzig-sv-dessau-05/
gdr-1949-1950,1,1949-09-04,,sunday,ZSG Anker Wismar,BSG Einheit Meerane,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/oberliga-1949-1950-fc-anker-wismar-meeraner-sv/
gdr-1949-1950,1,1949-09-04,,sunday,ZSG Altenburg,BSG KWU Erfurt,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/oberliga-1949-1950-motor-altenburg-rot-weiss-erfurt/
gdr-1949-1950,2,1949-09-10,,saturday,BSG Franz Mehring Marga,BSG Gera-Süd,2,2,4,D,D,D,1,2,3,A,L,W,http://www.worldfootball.net/report/oberliga-1949-1950-glueckauf-brieske-senftenberg-1-sv-gera/
gdr-1949-1950,2,1949-09-10,,saturday,SG Dresden-Friedrichstadt,ZSG Altenburg,4,0,4,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/oberliga-1949-1950-dresdner-sc-motor-altenburg/
gdr-1949-1950,2,1949-09-10,,saturday,BSG Waggonfabrik Dessau,ZSG Anker Wismar,3,1,4,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/oberliga-1949-1950-sv-dessau-05-fc-anker-wismar/
gdr-1949-1950,2,1949-09-10,,saturday,BSG Einheit Meerane,ZSG Union Halle,2,1,3,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/oberliga-1949-1950-meeraner-sv-hallescher-fc/
